tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
2021-03-16,DKI3 (Jagakarsa),0.5176470588235293,0.4415584415584416,0.5873015873015872,0.2857142857142857,0.66,0.4117647058823529,88,PM25,SEDANG
2021-03-17,DKI3 (Jagakarsa),0.6588235294117648,0.5584415584415584,0.4603174603174603,0.4285714285714285,0.62,0.4411764705882353,106,PM25,TIDAK SEHAT
2021-03-18,DKI3 (Jagakarsa),0.5411764705882354,0.512987012987013,0.5079365079365079,0.23809523809523808,0.6799999999999999,0.4117647058823529,99,PM25,SEDANG
2021-03-19,DKI3 (Jagakarsa),0.5176470588235293,0.43506493506493504,0.4761904761904761,0.23809523809523808,0.62,0.2941176470588235,87,PM25,SEDANG
2021-03-20,DKI3 (Jagakarsa),0.588235294117647,0.5584415584415584,0.4444444444444444,0.47619047619047616,0.74,0.38235294117647056,106,PM25,TIDAK SEHAT
2021-03-21,DKI3 (Jagakarsa),0.776470588235294,0.6363636363636364,0.38095238095238093,0.619047619047619,0.58,0.3529411764705882,118,PM25,TIDAK SEHAT
2021-03-22,DKI3 (Jagakarsa),0.5529411764705883,0.474025974025974,0.36507936507936506,0.619047619047619,0.5599999999999999,0.17647058823529413,93,PM25,SEDANG
2021-03-23,DKI3 (Jagakarsa),0.4235294117647059,0.3701298701298701,0.36507936507936506,0.3333333333333333,0.38,0.11764705882352941,77,PM25,SEDANG
2021-03-04,DKI4 (Lubang Buaya),0.5529411764705883,0.538961038961039,0.5873015873015872,0.8095238095238094,0.5,0.2058823529411765,103,PM25,TIDAK SEHAT
2021-03-05,DKI4 (Lubang Buaya),0.4235294117647059,0.3831168831168831,0.5873015873015872,0.5714285714285714,0.48,0.2647058823529411,79,PM25,SEDANG
2021-03-06,DKI4 (Lubang Buaya),0.5411764705882354,0.487012987012987,0.5873015873015872,0.9523809523809522,0.48,0.2647058823529411,95,PM25,SEDANG
2021-03-07,DKI4 (Lubang Buaya),0.5294117647058822,0.5324675324675324,0.603174603174603,0.9999999999999999,0.52,0.2941176470588235,102,PM25,TIDAK SEHAT
2021-03-16,DKI4 (Lubang Buaya),0.4941176470588235,0.525974025974026,0.6825396825396826,0.5238095238095238,0.58,0.4117647058823529,101,PM25,TIDAK SEHAT
